model,family,dialect,condition,n_paired_total,n_paired_factual,n_degenerated_msa,n_degenerated_dialect,degeneration_rate_msa,degeneration_rate_dialect,headline_failure_rate_msa,headline_failure_rate_dialect,hallucination_rate_msa,hallucination_rate_msa_ci_low,hallucination_rate_msa_ci_high,hallucination_rate_dialect,hallucination_rate_dialect_ci_low,hallucination_rate_dialect_ci_high,hds,hds_ci_low,hds_ci_high,clean_clean,clean_to_hallucination,hallucination_to_clean,hallucination_hallucination,mcnemar_exact_p,hallucination_iou,bootstrap_iterations,bootstrap_seed,mcnemar_bh_q
allam,arabic_centric,egyptian,direct,300,296,4,1,0.013333,0.003333,0.353333,0.356667,0.344595,0.290541,0.398649,0.35473,0.304054,0.408784,0.010135,-0.050676,0.070946,149,45,42,60,0.830373,0.408163,2000,42,1.0
allam,arabic_centric,gulf,direct,300,294,4,2,0.013333,0.006667,0.353333,0.353333,0.346939,0.292517,0.401361,0.346939,0.292517,0.404762,0.0,-0.05102,0.05102,162,30,30,72,1.0,0.545455,2000,42,1.0
allam,arabic_centric,levantine,direct,300,294,4,3,0.013333,0.01,0.353333,0.356667,0.343537,0.289116,0.397959,0.346939,0.295918,0.401361,0.003401,-0.057823,0.061224,153,40,39,62,1.0,0.439716,2000,42,1.0
allam,arabic_centric,sudanese,direct,300,296,4,1,0.013333,0.003333,0.353333,0.453333,0.344595,0.287162,0.398649,0.445946,0.391892,0.503378,0.101351,0.040541,0.162162,135,59,29,73,0.001824,0.453416,2000,42,0.026664
fanar,arabic_centric,egyptian,direct,300,279,16,12,0.053333,0.04,0.7,0.75,0.688172,0.630824,0.741935,0.74552,0.691756,0.795699,0.057348,-0.010753,0.125448,28,59,43,149,0.137099,0.593625,2000,42,0.329038
fanar,arabic_centric,gulf,direct,300,272,16,20,0.053333,0.066667,0.7,0.7,0.683824,0.628676,0.738971,0.672794,0.617647,0.727941,-0.011029,-0.073621,0.051471,49,37,40,146,0.819893,0.654709,2000,42,1.0
fanar,arabic_centric,levantine,direct,300,275,16,15,0.053333,0.05,0.7,0.68,0.690909,0.636364,0.745455,0.665455,0.610909,0.723636,-0.025455,-0.094545,0.043727,43,42,49,141,0.529602,0.607759,2000,42,0.847363
fanar,arabic_centric,sudanese,direct,300,256,16,34,0.053333,0.113333,0.7,0.836667,0.703125,0.644531,0.757812,0.808594,0.757812,0.855469,0.105469,0.039062,0.171973,21,55,28,152,0.004039,0.646809,2000,42,0.026664
fanar_instruct,arabic_centric,egyptian,direct,300,300,0,0,0.0,0.0,0.49,0.486667,0.49,0.433333,0.546667,0.486667,0.43,0.543333,-0.003333,-0.046667,0.04,131,22,23,124,1.0,0.733728,2000,42,1.0
fanar_instruct,arabic_centric,gulf,direct,300,300,0,0,0.0,0.0,0.49,0.513333,0.49,0.433333,0.546667,0.513333,0.456667,0.57,0.023333,-0.01,0.06,135,18,11,136,0.264931,0.824242,2000,42,0.529862
