model,family,dialect,condition,n_paired_total,n_paired_factual,n_degenerated_msa,n_degenerated_dialect,degeneration_rate_msa,degeneration_rate_dialect,headline_failure_rate_msa,headline_failure_rate_dialect,hallucination_rate_msa,hallucination_rate_msa_ci_low,hallucination_rate_msa_ci_high,hallucination_rate_dialect,hallucination_rate_dialect_ci_low,hallucination_rate_dialect_ci_high,hds,hds_ci_low,hds_ci_high,clean_clean,clean_to_hallucination,hallucination_to_clean,hallucination_hallucination,mcnemar_exact_p,hallucination_iou,bootstrap_iterations,bootstrap_seed
allam,arabic_centric,egyptian,direct,300,296,4,1,0.013333,0.003333,0.366667,0.383333,0.358108,0.307432,0.412162,0.381757,0.327618,0.439189,0.023649,-0.033784,0.077703,153,37,30,76,0.463818,0.531469,2000,42
allam,arabic_centric,gulf,direct,300,294,4,2,0.013333,0.006667,0.366667,0.37,0.360544,0.306122,0.414966,0.363946,0.306122,0.421769,0.003401,-0.044218,0.05102,161,27,26,80,1.0,0.601504,2000,42
allam,arabic_centric,levantine,direct,300,294,4,3,0.013333,0.01,0.366667,0.34,0.357143,0.29932,0.408163,0.333333,0.282313,0.384354,-0.02381,-0.071429,0.020408,169,20,27,78,0.381693,0.624,2000,42
allam,arabic_centric,sudanese,direct,300,296,4,1,0.013333,0.003333,0.366667,0.43,0.358108,0.304054,0.408784,0.422297,0.368243,0.476351,0.064189,0.013429,0.118243,149,41,22,84,0.022575,0.571429,2000,42
fanar,arabic_centric,egyptian,direct,300,279,16,12,0.053333,0.04,0.836667,0.846667,0.831541,0.78853,0.874552,0.845878,0.802778,0.885305,0.014337,-0.035932,0.064516,18,29,25,207,0.683489,0.793103,2000,42
fanar,arabic_centric,gulf,direct,300,272,16,20,0.053333,0.066667,0.836667,0.816667,0.830882,0.783088,0.875,0.808824,0.761029,0.852941,-0.022059,-0.069853,0.025735,27,19,25,201,0.451381,0.820408,2000,42
fanar,arabic_centric,levantine,direct,300,275,16,15,0.053333,0.05,0.836667,0.8,0.829091,0.785455,0.872727,0.792727,0.741818,0.84,-0.036364,-0.087273,0.014545,28,19,29,199,0.193413,0.805668,2000,42
fanar,arabic_centric,sudanese,direct,300,256,16,34,0.053333,0.113333,0.836667,0.896667,0.847656,0.800781,0.890625,0.882812,0.839844,0.917969,0.035156,-0.015625,0.089844,10,29,20,197,0.25287,0.800813,2000,42
fanar_instruct,arabic_centric,egyptian,direct,300,300,0,0,0.0,0.0,0.433333,0.443333,0.433333,0.376667,0.49,0.443333,0.39,0.5,0.01,-0.033333,0.053333,148,22,19,111,0.755229,0.730263,2000,42
fanar_instruct,arabic_centric,gulf,direct,300,300,0,0,0.0,0.0,0.433333,0.436667,0.433333,0.373333,0.490083,0.436667,0.376667,0.496667,0.003333,-0.033333,0.04,154,16,15,115,1.0,0.787671,2000,42
fanar_instruct,arabic_centric,levantine,direct,300,300,0,0,0.0,0.0,0.433333,0.456667,0.433333,0.38,0.49,0.456667,0.403333,0.51,0.023333,-0.02,0.066667,146,24,17,113,0.348889,0.733766,2000,42
fanar_instruct,arabic_centric,sudanese,direct,300,300,0,0,0.0,0.0,0.433333,0.453333,0.433333,0.376667,0.49,0.453333,0.396667,0.51,0.02,-0.023333,0.063417,145,25,19,111,0.451381,0.716129,2000,42
